# English-German dictionary created from English Wiktionary
# Created on: 2010-10-07T23:21:21+02:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
-ible	-bar
alphabetic	alphabetisch
alphabetical	alphabetisch
alpine chough	Alpendohle
already	bereits
also	auch
altar	Altar
although	obwohl
altitude	Höhe
aluminium	Aluminium
aluminum	Aluminium
always	immer
am	bin
amaranth	Amarant
amber	Bernstein
amber	Bernsteingelb
amber	Gelb
ambigram	Ambigramm
ambiguous	doppeldeutig
ambrosia	Ambrosia
ambulance	Rettungswagen
ameliorate	verbessern
americium	Americium
amethyst	Amethyst
amino acid	Aminosäure
among	unter
ampersand	Et-Zeichen
amphetamine	Benzedrin
amphibian	Amphibie
amusement	Amüsement
an	ein
anachronistic	anachronistisch
anagram	Anagramm
analogue	analog
analogy	Analogie
analysis	Analyse
analysis	Analysis
analyst	Analytiker
anarchism	Anarchismus
anarchy	Anarchie
anatomy	Anatomie
anchor	Anker
anchovy	Sardelle
ancient	antik
and	und
angel	Engel
anger	Ärger
angle	Winkel
angle	Blickwinkel
angle	Ecke
angry	ärgerlich
animal	Tier
animal	tierisch
anime	anime
anise	Anis
ankle	Knöchel
anno Domini	Jahr des Herrn
annoy	stören
annual	jährlich
answer	Antwort
ant	Ameise
antelope	Antilope
antenna	Antenne
anthill	Ameisenhaufen
anthrax	Milzbrand
anthropology	Anthropologie
antichrist	Antichrist
anticlockwise	gegen
antimony	Antimon
antler	Geweih
antonym	Antonym
anus	Anus
anyone	irgendjemand
apartment	Wohnung
apatite	Apatit
ape	Menschenaffe
aphorism	Aphorismus
apocalypse	Apokalypse
apology	Entschuldigung
apostasy	Abtrünnigkeit
apostle	Apostel
apostrophe	Apostroph
apothecary	Apotheker
apothecary	Apotheke
appendicitis	Blinddarmentzündung
appendix	Anhang
appendix	Blinddarm
apple	Apfel
apple	Apfelholz
apple pie	Apfelkuchen
apple tree	Apfelbaum
appreciate	zu schätzen wissen
appreciate	dankbar sein für
appreciate	verstehen
appreciate	im Wert steigen
approval	Zustimmung
approximately	ungefähr
apricot	Aprikose
apron	Schürze
aquatic	Wasser-
aquifer	Grundwasserleiter
arbitrary	arbiträr
arc	Bogen
archaeology	Archäologie
archaic	archaisch
archangel	Erzengel
archduke	Erzherzog
archer	Bogenschütze
archery	Bogenschießen
archipelago	Archipel (Arkhipel)
architect	Architekt
architecture	Architektur
archive	Archiv
archive	archivieren
are	sind
are	bist
are	seid
area	Gebiet
argent	Silber
argent	silbern
arginine	Arginin
argon	Argon
argument	Argument
argument	Streit
arise	entstehen
arithmetic	Arithmetik
arm	Arm
arm	Waffe
armistice	Waffenstillstand
armor	Rüstung
armour	Rüstung
armpit	Achselhöhle
army	Armee
arrange	arrangieren
arrival	Ankunft
arrogance	Arroganz
arrogant	arrogant
arrow	Pfeil
arsenic	Arsen
arson	Brandstiftung
art	Kunst
artery	Arterie
artichoke	Artischocke
article	Artikel
article	Paragraph
as	wie
as	während
as	weil
as	als
ascend	steigen
ash	Asche
ash	Esche
ashtray	Aschenbecher
ask	fragen
ask	bitten
aspect	Aspekt
aspirin	Aspirin
ass	Esel
ass	Arsch
asshole	Arschloch
astatine	Astat
asterisk	Sternchen
asteroid	Asteroid
astronaut	Astronaut
astronomy	Astronomie
asylum	Asyl
at	an
at	um
at	nach
at least	mindestens
at sign	Klammeraffe
at symbol	Klammeraffe
ate	aß
atheism	Atheismus
atheist	Atheist
atmosphere	Atmosphäre
atom	Atom
atom bomb	Atombombe
atomic bomb	Atombombe
atomic nucleus	Atomkern
atomic number	Ordnungszahl
atrocity	Grausamkeit
attack	Angriff
attempt	versuchen
attic	Dachgeschoss
attorney	Rechtsanwalt
aubergine	Aubergine
auction	Versteigerung
augment	vermehren
aunt	Tante
authority	Autorität
autism	Autismus
autobiography	Autobiografie
autocracy	autokratie
autonomous	autonom
autonomy	Autonomie
autumn	Herbst
auxiliary verb	Hilfsverb
availability	Vorhandensein
avalanche	Lawine
avenue	Allee
average	Durchschnitt
aviation	Luftfahrt
avocado	Avocado
avoid	vermeiden
awake	wach
awake	aufwachen
awake	aufwecken
awl	Ahle
axe	Axt
axe	Streitaxt
axis	Achse
axis of evil	Achse des Bösen
aye-aye	Fingertier
azure	blau
baboon	Pavian
baby	Baby
babysitter	Babysitter
bachelor	Junggeselle
back	Rücken
back	Rückseite
back	Ende
back	zurück
backbone	Rückgrat
backgammon	backgammon
backpack	Rucksack
bacon	Speck
bacteria	Bakterien
bacterium	Bakterium
bad	schlecht
bad	böse
badger	Dachs
bagel	Bagel
bagpipes	Sackpfeife
baker	Bäcker
bakery	Bäckerei
baklava	Baklava
balalaika	Balalaika
balance	Waage
balance	Balance
balcony	Balkon
bald	kahl
ball	Ball
ball	Kugel
ball	Ei
ball	Knäuel
ball bearing	Kugellager
balloon	Ballon
balloon	Heißluftballon
ballpoint pen	Kugelschreiber
bamboo	Bambus
banal	banal
banana	Banane
banana	Bananenstaude
band	Band
band-aid	Pflaster
bandy	Bandy
banjo	Banjo
bank	Bank
bank	Ufer
bankrupt	bankrott
bankruptcy	Bankrott
banner	Banner
baptism	Taufe
bar	Bar
bar	Block
barbed wire	Stacheldraht
barber	Friseur
barefoot	barfuß
barge	Lastkahn
barium	Barium
bark	if thicker: Borke
bark	bellen
bark	Bellen
barley	Gerste
barn owl	Schleiereule
baron	Baron
base	Basis
base	Kaserne
base	Base
baseball	Baseball
basement	Keller
basil	Basilikum
basket	Korb
basketball	Basketball
bass	bass
bassoon	Fagott
bastard	Bastard
bat	Fledermaus
bat	Schläger
bath	Badewanne
bath	Bad
bath	Baden
bathe	(sich) baden
bathroom	Klosett
bathroom	Badezimmer
battery	Batterie
battle	Schlacht
battleship	Schlachtschiff
bay	Golf
bayonet	Bajonett
bazaar	Basar
be	sein
be	werden
beach	Strand
beach volleyball	Beachvolleyball
beak	Schnabel
beam	Balken
bean	Bohne
bear	Bär
bear	gebären
bear	tragen
bear	ertragen
beard	Bart
beast	Tier
beast	Biest
beat	schlagen
beautiful	schön
beaver	Biber
because	weil
become	werden
bed	Bett
bed	Boden
bed	Beet
bed	Lager
bedbug	Wanze
bedroom	Schlafzimmer
bee	Biene
beech	Buche
beef	Rindfleisch
beehive	Bienenstock
beer	Bier
beeswax	Bienenwachs
beet	(rote) Rübe
beet	Bete
beetle	Käfer
before	vor
before	bevor
beg	betteln
beg	anflehen
begin	anfangen
beginning	Beginn
behavior	Verhalten
behaviour	Verhalten
behind	hinter
behold	betrachten
beige	beige
being	das Wesen
being	das Sein
belief	Glaube
bell	Glocke
belly	Bauch
belt	Gürtel
bench	Bank
beret	Baskenmütze
berkelium	Berkelium
berry	Beere
beryllium	Beryllium
best regards	mit freundlichem Gruß
bet	wetten
bet	Wette
better	besser
between	zwischen
beverage	Getränk
biathlon	Biathlon
bicycle	Fahrrad
bidet	Bidet
big	groß
big toe	große Zehe
bike	Fahrrad
bike	Motorrad
bikini	Bikini
bile	Galle
billiards	Karambolagen
billion	Milliarde
billion	Billion
billionaire	Milliardär
bind	verbinden
binoculars	Fernglas
biochemistry	Biochemie
biography	Biografie
biological	biologisch
biology	Biologie
birch	Birke
bird	Vogel
bird	Schnitte
bird of prey	Raubvogel
birth	Geburt
birthday	Geburtstag
birthday	Geburtsdatum
birthmark	Muttermal
biscuit	Keks
bishop	Bischof
bishop	Läufer
bit	Bit
bit	Bißchen
bitch	Hündin
bitch	Schlampe
bite	beißen
bitter	bitter
bitter	verbittert
bittern	Rohrdommel
black	schwarz
black	Schwarz
black	Schwarze
black grouse	Birkhuhn
black hole	schwarzes Loch
black woodpecker	Schwarzspecht
black-headed gull	Lachmöwe
blackberry	Brombeere
blackbird	Amsel
blackboard	Tafel
blacksmith	Schmied
blacksmith	Hufschmied
bladder	Blase
blade	Klinge
blanket	Decke
bleed	bluten
bless	segnen
bless you	Gesundheit
blind	blind
blindness	Blindheit
blog	Blog
blood	Blut
blood type	Blutgruppe
bloody	blutig
blouse	Bluse
blow	blasen
blowjob	Sex auf „französisch“
blue	blau
blue	Blau
blue tit	Blaumeise
blue whale	Blauwal
blueberry	Blaubeere
boar	Wildschwein
boar	Eber
board	Brett
board	Tafel
boat	Boot
body	Körper
body	Rumpf
body	Leiche
bodybuilder	Bodybuilder
bodybuilding	Bodybuilding
bohrium	Bohrium
boil	sieden
bold	mutig
bold	fett
bomb	Bombe
bomb	bombardieren
bon appétit	guten Appetit
bone	Knochen
book	Buch
book	buchen
bookshop	Buchhandlung
bookstore	Buchhandlung
boomerang	Bumerang
boot	Stiefel
border	Grenze
boredom	Langeweile
boring	langweilig
born	geboren
boron	Bor
borrow	borgen
boss	Chef
both	beide
bottle	Flasche
bottle	in
bouquet	Blumenstrauß
bovine spongiform encephalopathy	Bovine Spongiforme Enzephalopathie
bow	Bogen
bow	Bug
bow	sich verbeugen
bow	Verbeugung
bow	sich biegen
bowl	Schale
bowtie	Fliege
box	Kasten
boxing	Verpacken
boy	Junge
boy	Kerl
boy	Knappe
boy	Jungs
boyfriend	Freund
bra	Büstenhalter
brain	Gehirn
brain	Verstand
brain stem	Hirnstamm
brake	Bremse
brake	bremsen
bran	Kleie
branch	Ast
branch	Zweigstelle
brass	Messing
brave	tapfer
bravery	Tapferkeit
bread	Brot
break	brechen
break	zerbrechen
break	kaputtgehen
break	kaputtmachen
break	Pause
breakfast	Frühstück
breakfast	frühstücken
breast	Brust
breed	aufziehen
breeze	Brise
bribery	Bestechung
brick	Backstein
bride	Braut
bridegroom	Bräutigam
bridge	Brücke
bridge	Bridge
brief	kurz
bright	hell
bright	intelligent
bright	lebhaft
bring	bringen
brochure	Broschüre
bromine	Brom
bronze	Bronze
brooch	Brosche
brook	Bach
broom	Besen
broth	Brühe
brothel	Bordell
brother	Bruder
brother-in-law	Schwager
brown	braun
brown dwarf	Brauner Zwerg
brush	Bürste
brush	putzen
bucket	Eimer
buckwheat	Buchweizen
bud	Knospe
buffalo	Büffel
buffalo	Bison
bug	Wanze
build	bauen
building	Gebäude
building	Bau
bulky	massig
bull	Bulle
bulldog	Bulldogge
bullet	Kugel
bumblebee	Hummel
bundle	Bündel
burdock	Klette
bureaucracy	Bürokratie
burka	Burka
burn	brennen
burn	verbrennen
burn	Brandwunde
burn	Verbrennung
burp	rülpsen
burp	Rülpser
burst	platzen
bus	Bus
bush	Strauch
business card	Visitenkarte
businessman	Geschäftsmann
businesswoman	Geschäftsfrau
bustard	Trappe
busybody	Wichtigtuer
but	aber
but	außer
but	obwohl
butcher	Metzger
butter	Butter
butter	mit
butter up	Honig
butterfly	Schmetterling
buttermilk	Buttermilch
buttock	Hinterbacke
buy	kaufen
buzzard	Bussard
by	bei
by	mit
by the way	übrigens
bye	tschüss
byte	Byte
cabbage	Kohl
cable	Kabel
cactus	Kaktus
cadaver	Kadaver
cadmium	Kadmium
caesium	Cäsium
café	Café
cage	Käfig
cake	Kuchen
calcium	Kalzium
calculate	kalkulieren
calculator	Rechner
calculus of variations	Variationsrechnung
calendar	Kalender
calf	Kalb
calf	Wade
californium	Californium
call	rufen
call	Anruf
call	Ruf
call	telefonieren
call	nennen
call	heißen
callsign	Rufzeichen
camel	Kamel
camera	Fotoapparat
camouflage	Tarnung
campaign	Kampagne
can	können
can	könnte
can	Dose
can	Gießkanne
can	einmachen
can	die Klappe
canary	Kanarienvogel
cancer	Krebs
candidate	Kandidat
candle	Kerze
candlestick	Kerzenhalter
cane	Spazierstock
cane	Rohr
cannabis	Cannabis
cannon	Kanone
capercaillie	Auerhuhn
capillary	Kapillare
capital	Hauptstadt
capital	Kapital
capital	Großbuchstabe
capital punishment	Kapitalstrafe
capitalism	Kapitalismus
capitol	Kapitol
car	Auto
car	Wagen
car	Kabine
caramel	Karamell
carbohydrate	Kohlenhydrat
carbon	Kohlenstoff
carbon	Kohle
carbon dioxide	Kohlenstoffdioxid
carbon monoxide	Kohlenstoffmonoxid
carboxylic	Carboxyl-
carboxylic acid	Carboxylsäure
carcass	Aas
cardinal	Grundzahl
cardinal	Kardinal
cardinal	grundsätzlich
cardinal	Rotkardinal
cardinal number	Grundzahlwort
cardiologist	Kardiologe
career	Karriere
carefree	sorglos
carnage	Massaker
carnivore	Fleischfresser
carp	Karpfen
carpenter	Zimmermann
carpet	Teppich
carrot	Möhre
carry	tragen
case	Kasus
case	Kiste
case	Fall
cash	Bargeld
cassava	Maniok
caste	Kaste
castle	Turm
castle	Burg
castling	Rochade
castration	Kastrierung
cat	Katze
catalogue	Verzeichnis
catamaran	Katamaran
catapult	Katapult
category	Kategorie
caterpillar	Raupe
catfish	Wels
cathedral	Kathedrale
catheter	Katheter
cattle	Rind
cauliflower	Blumenkohl
cause	verursachen
cave	Höhle
caviar	Kaviar
cease	aufhören
cedar	Zeder
cedilla	Cedille
ceiling	Decke
celery	Sellerie
cell	Zelle
cell phone	Mobiltelefon
cellulose	Zellulose
cemetery	Kirchhof
cenotaph	Ehrenmal
cent	Cent
centimetre	Zentimeter
century	Jahrhundert
century	Zenturie
ceramic	Keramik
cerium	Cer
chador	Tschador
chaffinch	Buchfink
chain	Kette
chainsaw	Kettensäge
chairman	Vorsitzender
chalcedony	Chalcedon
chalk	Kreide
chamber	Raum
chamois	Gams
chance	Gelegenheit
chandelier	Kronleuchter
change	Änderung
change	sich ändern
change	ändern
change	Wechselgeld
change	wechseln
channel	lenken
chaos	Unordnung
chaos theory	Chaosforschung
chapter	Kapitel
character	Person
character	Charakter
character	Buchstabe
charcoal	Holzkohle
chase	jagen
chase	Verfolgung
chaulk	Kreide
cheap	billig
check	Schach
check	Scheck
check	Rechnung
checkmate	Schachmatt
checksum	Prüfsumme
cheek	Wange
cheers	prost
cheese	Käse
cheetah	Gepard
chemical	chemisch
chemist	Chemiker
cheque	Scheck
cherry	Kirsche
chess	Schach
chessboard	Schachbrett
chest	Brust
chest	Truhe
chestnut	Kastanie
chew	kauen
chewing gum	Kaugummi
chick	Küken
chicken	Huhn
chicken	Feigling
chickpea	Kichererbse
child	Kind
chimney	Kamin
chimpanzee	Schimpanse
chin	Kinn
chisel	Meißel
chive	Schnittlauch
chlorine	Chlor
chlorophyll	Chlorophyll
chocolate	Schokolade
chocolate	Praline
chocolate	schokoladenbraun
chocolate	chocolat
choice	Wahl
choir	Chor
cholera	cholera
choose	wählen
choose	auswählen
chopstick	Essstäbchen
chord	Akkord
chorus	Chor
chromium	Chrom
chromosome	Chromosom
church	Kirche
church	Gottesdienst
cicada	Zikade
cigar	Zigarre
cigarette	Zigarette
cinema	Kino
cinema	Film
cinema	Filmindustrie
cinnamon	Zimt
cinnamon	Zimtbaum
circle	Kreis
circle	Zirkel
circle	umkreisen
circle	kreisen
circle	einkreisen
circumcision	Beschneidung
circumference	Umfang
city	Stadt
civil war	Bürgerkrieg
clandestine	klammheimlich
clarinet	Klarinette
classification	Klassifikation
claustrophobia	Platzangst
claw	Klaue
clay	Lehm
cleaver	Cleaver
cliché	Klischee
client	(1) Kunde
cliff	Klippe
climb	klettern
clitoris	Klitoris
clock	Uhr
clockwise	im Uhrzeigersinn
close	schließen
close	nah
closed	geschlossen
cloth	Stoff
clothes	Kleidung
cloud	Wolke
cloudberry	Moltebeere
clove	Gewürznelke
clover	Klee
clown	Clown
club	Klub
club	Bengel
club	Kreuz
clubs	Kreuz
coach	Trainer
coach	trainieren
coal	Kohle
coarse	grob
coast	Küste
coat	Mantel
coat	Beschichtung
coat of arms	Wappen
cobalt	Kobalt
cobra	Kobra
coca	Cocastrauch
cocaine	Kokain
cock	Schwanz
cock	Hahn
cock	Männchen
cock-a-doodle-doo	kickeriki
cockle	Herzmuscheln
cockroach	Schabe
cocktail	Cocktail
cocoa	Kakao
coconut	Kokosnuss
cod	Kabeljau
code	Kode
coeliac disease	Zöliakie
coffee	Kaffee
coffee	Kaffeepflanze
coffin	Sarg
coin	Münze
cola	Cola
cold	kalt
cold	Erkältung
cold	Kälte
cold	kaltherzig
cold fusion	kalte Fusion
collaborate	zusammenarbeiten
collage	Collage
collar	Kragen
collarbone	Schlüsselbein
colloquial	umgangssprachlich
colon	Doppelpunkt
colon	Kolon
colonel	Oberst
colony	Kolonie
colt	Hengstfohlen
coma	Koma
comb	Kamm
come	kommen
comet	Komet
comfortable	komfortabel
comitology	Komitologie
comma	Komma
comment	Kommentar
committee	Komitee
common	nicht
common	gemeinsam
common gull	Sturmmöwe
common kestrel	Turmfalke
commonwealth	Staatenbund
communism	Kommunismus
communist	Kommunist
communist	kommunistisch
companion	Gefährte
company	Gesellschaft
comparative	Komparativ
compass	Kompass
competition	Wettbewerb
competition	Konkurrenz
complete	ganz
complete	beenden
complex number	Komplexe Zahl
complexity	Vielfalt
complexity	Komplexität
component	Komponente
computer	Computer
computer game	Computerspiele
computer science	Informatik
comrade	Genosse
conceal	verbergen
concentration camp	Konzentrationslager
concept	Konzept
concertina	Ziehharmonika
concrete	Beton
concrete	aus
concrete	konkret
condition	Bedingung
condom	Präservativ
conductor	Dirigent
conductor	Leiter
conductor	Schaffner
conference	Konferenz
confiscate	konfiszieren
conflagration	Feuersbrunst
conflict	Konflikt
congratulate	gratulieren
conjunction	Konjunktion
connoisseur	Kenner
consanguinity	Blutsverwandtschaft
conscience	Gewissen
conscious	bewusst
consciousness	Bewusstsein
consensus	Konsens
consent	Zustimmung
consonant	Konsonant
constellation	Sternbild
constitution	Verfassung
consumption	Konsum
contact	kontaktieren
contact	Kontakt
contact lens	Kontaktlinse
contagion	Ansteckung
contemporary	zeitgenössisch
contempt	Verachtung
content	Inhalt
continent	Kontinent
contract	Vertrag
contradict	widersprechen
control	kontrollieren
control	Kontrolle
conversation	Konversation
convertible mark	konvertible Mark
convex	konvex
cook	Koch
cook	kochen
cookbook	Kochbuch
cooked	gekochte
cookie	Keks
cool	kühl
coordinate	Koordinate
copper	Kupfer
copper	kupfern
copra	Kopra
copy	kopieren
copy	nachmachen
copy	Kopie
copy	verstanden
copyright	Urheberrecht
cor anglais	Englischhorn
coral	Koralle
core	Kerngehäuse
cormorant	Kormoran
corn	Mais
corner	Ecke
corporation	Unternehmen
corpse	Leiche
corridor	Korridor
corset	Korsett
cosmology	Kosmologie
cotton	Baumwolle
cotton candy	Zuckerwatte
cough	husten
council	Rat
count	Graf
count	zählen
countess	Gräfin
country	Land
country	ländlich
county	Landkreis
county	Grafschaft
coup d'état	Staatsstreich
couple	Paar
courage	Courage
course	Kurs
cousin	Cousin
cover	Deckel
cover	decken
cover	Einband
cow	Kuh
coward	Angsthase
cowardice	Feigheit
coyote	Kojote
crab	Krabbe
cradle	Wiege
cranberry	Moosbeere
crane	Kranich
crane	Kran
crayfish	Panzerkrebs
crayon	Zeichenstift
crazy	verrückt
cream	Sahne
create	erschaffen
creation	Schöpfung
creation	Schaffen
creativity	Kreativität
creator	Schöpfer
creature	Geschöpf
creep	kriechen
crew	Mannschaft
cricket	Grille
cricket	Cricket
crime	Verbrechen
criminal	Kriminelle
criminal	kriminell
crisis	Krise
criterion	Kriterium
criticism	Kritik
crocodile	Krokodil
croissant	Croissant
cross	Kreuz
cross	kreuzen
crossbow	Armbrust
crossword	Kreuzworträtsel
crow	Krähe
crowbar	Nageleisen
crown	Krone
crude oil	Rohöl
cruel	grausam
crusade	Kreuzzug
crust	Kruste
crustacean	Krebstier
crutch	Krücke
cry	weinen
cry	schreien
cry	Schrei
crystal	Kristall
crystal	Kristallglas
cub	Junge
cube	Kubus
cube	Würfel
cubism	Kubismus
cuckoo	Kuckuck
cucumber	Gurke
culture	Kultur
cum	abspritzen
cunt	Fotze
cup	Tasse
cure	Heilung
cure	kurieren
curiosity	Neugier
curium	Curium
currant	Johannisbeere
currency	Währung
current	Strom
current	Stromstärke
current	gegenwärtig
currently	momentan
curriculum vitae	Lebenslauf
curse	Fluch
curse	fluchen
cushion	Kissen
customer	Kunde
cute	goldig
cutlery	Essbesteck
cyan	Aquamarin
cycle	Zyklus
cylinder	Zylinder
cymbal	Becken
cypress	Zypresse
czar	Zar
dachshund	Dackel
daddy	Papa
daffodil	Narzisse
dagger	Dolch
daily	täglich
dam	Damm
damage	Schaden
damage	beschädigen
dance	Tanz
dance	tanzen
dancer	Tänzer
dandelion	Löwenzahn
dangerous	gefährlich
dare	wagen
dark	dunkel
dark	Dunkelheit
dark	Dunkelwerden
dark	Dunkel
darkness	Dunkelheit
darmstadtium	Darmstadtium
data structure	Datenstruktur
date	Dattel
date	Datum
date	Treffen
dative	Dativ
dative case	Dativ
daughter	Tochter
daughter-in-law	Schwiegertochter
dawn	Dämmerung
day	Tag
day after tomorrow	Übermorgen
day after tomorrow	übermorgen
day before yesterday	vorgestern
dead	tot
deadly nightshade	schwarze Tollkirsche
deaf	taub
death	Tod
debate	Debatte
debate	debattieren
decade	Jahrzehnt
decay	faulen
deceased	verstorben
deceased	Verstorbene
deceive	betrügen
decimetre	Dezimeter
declare	erklären
declension	Beugung
deed	Tat
deer	Hirsch
defamation	Verleumdung
defeat	schlagen
defeat	Niederlage
defeatism	Defätismus
defecate	defäkieren
defendant	Angeklagter
definite article	bestimmte Artikel
degree	Grad
degree	Diplom
degree	Ausmaß
deism	Deismus
delicious	köstlich
delirium	Delirium
democracy	Demokratie
democratic	demokratisch
den	Höhle
density	Dichte
dentist	Zahnarzt
deodorant	deodorant
deoxyribonucleic acid	Desoxyribonukleinsäure
depression	Depression
depth	Tiefe
description	Beschreibung
desert	Wüste
desert	desertieren
design	Design
desire	Begehren
desk	Schreibtisch
despise	verachten
dessert	Nachspeise
destination	Reiseziel
destiny	Schicksal
destroy	zerstören
deuterium	Deuterium
development	Entwicklung
devil	Teufel
dew	Tau
dialect	Dialekt
dialectology	Dialektologie
dialogue	Dialog
diameter	Durchmesser
diamond	Diamant
diaper	Windel
diarrhea	Durchfall
diary	Tagebuch
dick	Schwanz
dictator	Diktator
dictionary	Wörterbuch
die	sterben
die	Würfel
difference	Differenz
difference	Andersartigkeit
difference	Unterschied
different	verschieden
different	anders
differential equation	Differentialgleichung
difficult	schwer
digestion	Verdauung
digit	Ziffer
digit	Finger
diligent	eifrig
dill	Dill
dining room	Esszimmer
dinner	Abendessen
director	Regisseur
dirty	schmutzig
dirty	verdrecken
discover	entdecken
discuss	diskutieren
discussion	Diskussion
disease	Krankheit
disgust	Ekel
dish	Teller
dishwasher	Geschirrspüler
diskette	Diskette
distance	Distanz
distance	entfernen
district	Bezirk
ditch	Graben
divide	aufteilen
division	Division
division	Teilung
division	Abteilung
divorce	Scheidung
do	tun
do you speak English	sprechen Sie Englisch
dobra	Dobra
docile	fügsam
doctor	Arzt
doctor	Doktor
doctor	Tierarzt
dodo	Dodo
dog	Hund
doll	Puppe
dollar	Dollar
dolphin	Delphin
donate	spenden
donation	Abgabe
donkey	Esel
door	Tür
dormouse	Bilch
dot	Punkt
double	doppelt
doubt	Zweifel
doubt	bezweifeln
dough	Teig
doughnut	Krapfen
dove	Taube
down	runter
download	Download
download	herunterladen
dowry	Mitgift
doxology	Doxologie
dozen	Dutzend
dragon	Drache
dragonfly	Libelle
drastic	drastisch
draw	zeichnen
drawer	Schublade
dream	Traum
dream	träumen
dress	Kleid
dress	kleiden
dress	sich anziehen
drink	trinken
drink	Getränk
drink	''Getränk''
drinking straw	Strohhalm
drinking water	Trinkwasser
drive	fahren
driver	Fahrer
driver	Treiber
dromedary	Dromedar
drone	Drohn
drop	Tropfen
drought	Dürre
drown	ertrinken
drug	Droge
drum	Trommel
drunk	betrunken
drunk	Trinker
dry	trocken
dry	trocknen
duchess	Herzogin
duck	Ente
dude	Kerl
duke	Herzog
dulcimer	Cymbal
dull	stumpf
dull	fad
duma	Duma
dumb	stumm
dune	Düne
dung	Dünger
dungeon	Verlies
dust	Staub
duty	Pflicht
duty	Zoll
dwarf	Zwerg
dwarf planet	Zwergplanet
dwell	leben
dye	Färbemittel
dye	färben
dynamics	Dynamik
e-mail	E-Mail
e.g.	z. B.
each	alle
eagle	Adler
eagle owl	Uhu
ear	Ohr
ear	pflügen
eardrum	Trommelfell
earring	Ohrring
earth	Erde
earth	erden
earth	Grund
earthquake	Erdbeben
earthworm	Regenwurm
earwax	Ohrenschmalz
earwig	Ohrwurm
east	Osten
easy	leicht
eat	essen
ebb	Ebbe
ebony	Ebenholz
echidna	Echidna
eclipse	Finsternis
eco-	Öko-
ecology	Ökologie
economics	ökonomie
economy	Wirtschaft
ecumenism	Ökumene
eczema	Ekzem
edge	Rand
edible	essbar
edit	bearbeiten
edition	Ausgabe
eel	Aal
effendi	Efendi
efficacy	Wirksamkeit
egg	Ei
egg yolk	Eigelb
ego	Ich
eigenvalue	Eigenwert
eight	acht
eighteen	achtzehn
eighth	achte
eighty	achtzig
eighty-eight	achtundachtzig
eighty-five	fünfundachtzig
eighty-four	vierundachtzig
eighty-nine	neunundachtzig
eighty-one	einundachtzig
eighty-seven	siebenundachtzig
eighty-six	sechsundachtzig
eighty-three	dreiundachtzig
eighty-two	zweiundachtzig
ejaculate	(''of a man or woman'') ejakulieren
ejaculation	Ejakulation
elderberry	Holunderbeere
election	Wahl
electricity	Elektrizität
electromagnet	Elektromagnet
electromagnetism	Elektromagnetismus
electron	Elektron
elegant	elegant
elephant	Elefant
eleven	elf
eleven hundred	elfhundert
eleventh	elfte
elf	Elf
elixir of life	Lebenselixier
elk	Elch
ellipse	Ellipse
elm	Ulme
embed	betten
embezzlement	Unterschlagung
embryo	Embryo
emerald	Smaragd
emergence	Emergenz
emotion	Gefühl
emperor	Kaiser
empire	Imperium
employ	einstellen
employee	Angestellter
empty	leer
empty	leeren
empty set	leere Menge
emu	Emu
enantiomer	Enantiomer
encephalopathy	Enzephalopathie
encourage	ermutigen
encyclopaedia	Lexikon
encyclopedia	Enzyklopädie
end	Ende
end	enden
end	beenden
enemy	Feind
energy	Energie
engine	Motor
engine	Lokomotive
engineer	Ingenieur
engineer	Maschinist
english	german
enhanced remake	erhöhte neue Version
enigma	Rätsel
enough	genug
enough	halt
enter	hereingehen
enthusiasm	Begeisterung
entrance	Zutritt
entropy	Entropie
envelope	Briefumschlag
environment	Umgebung
environment	Umfeld
envy	Neid
ephemeral	flüchtig
epidemic	Epidemie
epiglottis	Epiglottis
epoch	Epoche
equation	Gleichung
equator	Äquator
equilibrium	Gleichgewicht
equinox	Äquinoktium
era	Ära
ereyesterday	vorgestern
ergative case	Ergativ
ergo	ergo
ermine	Hermelin
erotic	erotisch
errant	errant
escalator	Rolltreppe
eschatology	Eschatologie
essay	Aufsatz
et cetera	und cetera
etc.	etc
etcetera	und so weiter
eternal	ewig
ethnic cleansing	ethnische Säuberung
etymology	Etymologie
eucalyptus	Eukalyptus
eukaryote	Eukaryote
eunuch	Eunuch
euro	Euro
euthanasia	Sterbehilfe
evacuate	evakuieren
evacuation	Evakuierung
even	gerade
even	eben
evening	Abend
eventually	schließlich
every	jeder
everybody	Jedermann
everything	alles
everywhere	überall
evil	böse
evil	Böse
evolution	Evolution
ewe	Mutterschaf
exactly	genau
exaggerate	übertreiben
examination	Test
example	Beispiel
excellent	ausgezeichnet
excommunication	Exkommunikation
excrement	Ausscheidungen
excuse me	Entschuldigung
exercise	Bewegung
exercise	Übung
exist	bestehen
existence	Existenz
exit	Ausweg
exit	aus
expensive	teuer
experience	erfahren
experiment	Experiment
explain	erklären
exploit	ausnutzen
expression	Ausdruck
expression	Redensart
extensive	umfangreich
external	Außen-
extinction	Aussterben
extraordinary	außerordentlich
extraterrestrial	außerirdisch
eye	Auge
eye	Öhr
eye	Knospe
eyebrow	Augenbraue
eyelash	Wimper
eyelid	Augenlid
fable	Fabel
face	Gesicht
face	Fläche
face	sich ausrichten
face	(sich etwas) stellen
fact	Tatsache
fact	Faktum
